frame,mse,mae,max_abs,psnr_db,temporal_mse,temporal_mae,temporal_max_abs,temporal_psnr_db
0,0.0011310299159958959,0.02258395031094551,0.3603515625,29.465259077358077,,,,
1,0.0011092433705925941,0.022316399961709976,0.363525390625,29.54973158170261,0.002959363628178835,0.03638456389307976,0.4599609375,31.308616594863842
2,0.0011011696187779307,0.02224985510110855,0.38623046875,29.58145779279355,0.0020778344478458166,0.03124956414103508,0.437255859375,32.844490492864075
3,0.001067757373675704,0.02192237600684166,0.369140625,29.71527420757507,0.0021280264481902122,0.031775329262018204,0.433837890625,32.74082970039686
4,0.0010359669104218483,0.021420344710350037,0.3291015625,29.84654116068297,0.0020632250234484673,0.03129589557647705,0.4189453125,32.8751339490471
5,0.0009705277043394744,0.020574156194925308,0.3857421875,30.129920628824927,0.0019472058629617095,0.030293429270386696,0.447021484375,33.12648122796078
6,0.0008995896787382662,0.019510501995682716,0.383544921875,30.459555359984456,0.0018144536297768354,0.028978994116187096,0.46533203125,33.433141174904065
7,0.0008807824924588203,0.01914381980895996,0.3193359375,30.551313265341395,0.001763416570611298,0.028264306485652924,0.5029296875,33.55705073840043
8,0.0009146850788965821,0.01928183250129223,0.319580078125,30.387284054298064,0.0017701018368825316,0.02810661308467388,0.4931640625,33.540617385684826
9,0.0009549238020554185,0.019601376727223396,0.31689453125,30.200312814708372,0.001833111047744751,0.028461886569857597,0.472412109375,33.38871216511974
10,0.0010217654053121805,0.020278582349419594,0.320068359375,29.90648805643151,0.0019536660984158516,0.029296966269612312,0.4677734375,33.11209650986547
11,0.0010437206365168095,0.020545996725559235,0.316162109375,29.814157295472413,0.0020446579437702894,0.029975377023220062,0.45751953125,32.91439327179367
12,0.0010512619046494365,0.020533721894025803,0.378173828125,29.782890731495264,0.0020967053715139627,0.03028261289000511,0.42919921875,32.80522583521376
13,0.0010388997616246343,0.02042590267956257,0.314453125,29.834263533796573,0.002080772304907441,0.030076729133725166,0.422607421875,32.83835432563983
14,0.0010315573308616877,0.020277461037039757,0.316162109375,29.86506630235697,0.0019173470791429281,0.02818985842168331,0.434814453125,33.19359255125585
15,0.0010315573308616877,0.020277461037039757,0.316162109375,29.86506630235697,0.0,0.0,0.0,inf
16,0.0010388997616246343,0.02042590267956257,0.314453125,29.834263533796573,0.0019173470791429281,0.02818985842168331,0.434814453125,33.19359255125585
17,0.0010512619046494365,0.020533721894025803,0.378173828125,29.782890731495264,0.002080772304907441,0.030076729133725166,0.422607421875,32.83835432563983
18,0.0010437206365168095,0.020545996725559235,0.316162109375,29.814157295472413,0.0020967053715139627,0.03028261289000511,0.42919921875,32.80522583521376
19,0.0010217654053121805,0.020278582349419594,0.320068359375,29.90648805643151,0.0020446579437702894,0.029975377023220062,0.45751953125,32.91439327179367
20,0.0009549238020554185,0.019601376727223396,0.31689453125,30.200312814708372,0.0019536660984158516,0.029296966269612312,0.4677734375,33.11209650986547
21,0.0009146850788965821,0.01928183250129223,0.319580078125,30.387284054298064,0.001833111047744751,0.028461886569857597,0.472412109375,33.38871216511974
22,0.0008807824924588203,0.01914381980895996,0.3193359375,30.551313265341395,0.0017701018368825316,0.02810661308467388,0.4931640625,33.540617385684826
23,0.0008995896787382662,0.019510501995682716,0.383544921875,30.459555359984456,0.001763416570611298,0.028264306485652924,0.5029296875,33.55705073840043
24,0.0009705277043394744,0.020574156194925308,0.3857421875,30.129920628824927,0.0018144536297768354,0.028978994116187096,0.46533203125,33.433141174904065
25,0.0010359669104218483,0.021420344710350037,0.3291015625,29.84654116068297,0.0019472058629617095,0.030293429270386696,0.447021484375,33.12648122796078
26,0.001067757373675704,0.02192237600684166,0.369140625,29.71527420757507,0.0020632250234484673,0.03129589557647705,0.4189453125,32.8751339490471
27,0.0011011696187779307,0.02224985510110855,0.38623046875,29.58145779279355,0.0021280264481902122,0.031775329262018204,0.433837890625,32.74082970039686
28,0.0011092433705925941,0.022316399961709976,0.363525390625,29.54973158170261,0.0020778344478458166,0.03124956414103508,0.437255859375,32.844490492864075
29,0.0011310299159958959,0.02258395031094551,0.3603515625,29.465259077358077,0.002959363628178835,0.03638456389307976,0.4599609375,31.308616594863842
