frame,mse,mae,max_abs,psnr_db
0,0.0011300588957965374,0.022490961477160454,0.36083984375,29.468989216025108
1,0.0011082522105425596,0.02222387306392193,0.365478515625,29.553613937750946
2,0.001100144349038601,0.022156910970807076,0.384033203125,29.585503276799553
3,0.0010667036985978484,0.021830633282661438,0.3701171875,29.719561990708222
4,0.0010347641073167324,0.02132529951632023,0.3299560546875,29.85158643991665
5,0.0009690610459074378,0.020473938435316086,0.3857421875,30.13648863748339
6,0.0008980718557722867,0.019409283995628357,0.38427734375,30.466889135365633
7,0.0008793479646556079,0.01904693990945816,0.318359375,30.558392372966598
8,0.0009136798908002675,0.019193965941667557,0.3212890625,30.392059333793373
9,0.0009543836349621415,0.01952245831489563,0.31689453125,30.202770162222205
10,0.0010218985844403505,0.02021627314388752,0.32177734375,29.90592202443368
11,0.0010442420607432723,0.02049318142235279,0.31787109375,29.811988179431328
12,0.0010518775088712573,0.02048596180975437,0.380126953125,29.780348308273204
13,0.0010397057048976421,0.020385896787047386,0.316162109375,29.83089573034015
14,0.0010323247406631708,0.02023790217936039,0.31689453125,29.861836642464084
15,0.0010323247406631708,0.02023790217936039,0.31689453125,29.861836642464084
16,0.0010397057048976421,0.020385896787047386,0.316162109375,29.83089573034015
17,0.0010518775088712573,0.02048596180975437,0.380126953125,29.780348308273204
18,0.0010442420607432723,0.02049318142235279,0.31787109375,29.811988179431328
19,0.0010218985844403505,0.02021627314388752,0.32177734375,29.90592202443368
20,0.0009543836349621415,0.01952245831489563,0.31689453125,30.202770162222205
21,0.0009136798908002675,0.019193965941667557,0.3212890625,30.392059333793373
22,0.0008793479646556079,0.01904693990945816,0.318359375,30.558392372966598
23,0.0008980718557722867,0.019409283995628357,0.38427734375,30.466889135365633
24,0.0009690610459074378,0.020473938435316086,0.3857421875,30.13648863748339
25,0.0010347641073167324,0.02132529951632023,0.3299560546875,29.85158643991665
26,0.0010667036985978484,0.021830633282661438,0.3701171875,29.719561990708222
27,0.001100144349038601,0.022156910970807076,0.384033203125,29.585503276799553
28,0.0011082522105425596,0.02222387306392193,0.365478515625,29.553613937750946
29,0.0011300588957965374,0.022490961477160454,0.36083984375,29.468989216025108
